date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings,derivative_cases
2020-05-12,22360,5048,5122,2457,0,4286,0,0.1025195895802358
2020-05-13,21654,5813,4764,2373,0,4625,0,0.1018766082091324
2020-05-14,21127,7777,5249,2591,0,4717,0,0.1019381226988725
2020-05-15,23336,7289,5445,2875,0,4829,0,0.1023008415069126
2020-05-16,24992,6145,5095,2560,0,4431,0,0.1024506981963097
2020-05-17,24855,7096,4725,2378,0,4401,0,0.1017103462599281
2020-05-18,28268,6602,4939,2337,0,4620,0,0.1015258752390346
2020-05-19,13685,5786,3267,1831,0,2789,0,0.1006255309503505
2020-05-20,12401,6401,7183,1804,1459,2559,0,0.0989485179087793
2020-05-21,20800,8904,4938,3711,2495,5013,0,0.0965265593347732
2020-05-22,19695,8110,6837,3868,0,4408,0,0.0940294474197598
2020-05-23,23404,6891,5751,2385,0,4011,0,0.0916712522216731
2020-05-24,20797,7407,4401,2536,0,5358,0,0.0910507070338611
2020-05-25,22840,8985,4770,2801,0,5510,0,0.0907567816428389
2020-05-26,22131,9041,5213,2462,0,4978,0,0.0918283723143508
2020-05-27,18525,8816,4733,2571,0,4267,0,0.095323962715447
2020-05-28,20177,7287,4380,2392,0,3954,0,0.0998953073141053
2020-05-29,17807,7768,3871,2490,0,4373,0,0.1045409789704795
2020-05-30,22099,5990,3823,1923,0,5479,0,0.1067093294027484
2020-05-31,19209,5118,3963,2134,0,5393,0,0.1069182520577291
2020-06-01,18530,4906,3884,1985,0,4845,0,0.1036317980325975
2020-06-02,15317,4816,4744,2100,0,5656,0,0.0961660970438736
2020-06-03,14594,4900,4678,2223,0,6117,0,0.0823826720647554
2020-06-04,13659,4659,3680,2106,0,4736,0,0.0678998333986708
2020-06-05,13931,5498,3154,2212,0,4919,0,0.0537935083700466
2020-06-06,11704,7260,2495,1648,0,5004,1548,0.0444802640192156
2020-06-07,12864,5679,2733,2101,0,4073,1251,0.035498507722398
2020-06-08,14810,5569,5320,2115,0,4791,0,0.0325116104150185
2020-06-09,12371,5324,3415,2022,0,4132,0,0.0358856172359282
2020-06-10,14478,6834,3399,2549,0,3846,0,0.0453892565011767
2020-06-11,13452,8312,3741,2621,0,5060,0,0.0557967959931952
2020-06-12,13043,8702,3313,2361,0,4378,0,0.0657910710425751
2020-06-13,10430,7165,2689,1572,0,3289,0,0.0761919051631163
2020-06-14,9143,7095,2787,1722,0,4096,0,0.0840990922179645
2020-06-15,14061,9062,3186,2520,0,4980,0,0.0898999111509703
2020-06-16,11186,9867,3772,3358,0,3817,0,0.093560962609194
2020-06-17,9519,12072,3765,3237,0,4282,0,0.0957334955100188
2020-06-18,10726,12401,3521,2580,0,3738,0,0.0970120928787214
2020-06-19,9431,13475,3463,3553,0,3839,0,0.0993043120656971
2020-06-20,7451,11587,4577,3018,0,3873,0,0.0986732507620407
2020-06-21,7187,7397,2945,2008,0,3166,0,0.1039505532142196
2020-06-22,10040,10223,3231,2462,0,3893,0,0.1072044459429106
2020-06-23,13132,10424,3720,2606,0,4739,0,0.1085185049228936
2020-06-24,9887,12606,6855,2675,0,3746,0,0.1090204807928014
2020-06-25,9648,17143,5880,3210,0,4510,0,0.1073359373737737
2020-06-26,9406,17176,3504,5202,0,4734,0,0.1036679705962438
2020-06-27,7778,17527,3649,3565,0,3816,0,0.1010093415436288
2020-06-28,9787,15146,3302,3320,0,3836,0,0.0958158948010407
2020-06-29,13277,16737,3599,4671,0,4193,0,0.0910951547126484
2020-06-30,12906,14222,3377,5179,0,3614,0,0.0869713533691571
2020-07-01,11227,16471,3588,4168,0,3870,0,0.0827871859865903
2020-07-02,9467,20078,4338,4134,0,4155,0,0.083824858653331
2020-07-03,10067,16891,5333,2785,0,4391,0,0.0870982386710702
2020-07-04,9743,14106,3776,2793,0,3940,0,0.0896924466957995
2020-07-05,10418,12660,3525,3510,0,4635,0,0.0916658278891307
2020-07-06,8264,11758,2844,3677,0,3258,0,0.0943435374140155
2020-07-07,11857,13925,3154,4401,0,3954,0,0.0977876815123491
2020-07-08,10595,14103,3507,3139,0,3589,0,0.1015163351725722
2020-07-09,9570,13151,3159,3225,0,3113,0,0.1022280465141411
2020-07-10,9334,13890,3474,2886,0,2980,0,0.102613140574879
2020-07-11,8014,14572,2329,1899,0,2810,0,0.1021070329645015
2020-07-12,8094,17345,3058,2407,0,3316,0,0.1014832916944712
2020-07-13,9268,16237,4148,4649,0,3609,0,0.101732931752661
2020-07-14,11134,18308,4240,3538,0,3329,0,0.1009768462288539
2020-07-15,8481,17495,3217,2705,0,4535,0,0.1000235660887293
2020-07-16,9605,22546,3000,2805,0,3224,0,0.0996735660652989
2020-07-17,8577,18569,2866,2686,0,3231,0,0.098760768092323
2020-07-18,6406,14097,2289,2220,0,2681,0,0.0984690364725506
2020-07-19,7467,13371,3074,2644,0,2505,0,0.0968652780698589
2020-07-20,7581,15730,3705,2725,0,2882,0,0.0926132425897161
2020-07-21,7528,16045,3853,2789,0,2981,0,0.0894646451659458
2020-07-22,8150,14557,3672,2931,0,3018,0,0.065826119720658
2020-07-23,7061,12668,2738,2657,0,3868,0,0.0423370039016736
