date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings,derivative_cases
2020-06-07,12864,5679,2733,2101,0,4073,1251,-0.0101464176134897
2020-06-08,14810,5569,5320,2115,0,4791,0,-0.0041960708958765
2020-06-09,12371,5324,3415,2022,0,4132,0,0.0112146107331399
2020-06-10,14478,6834,3399,2549,0,3846,0,0.0160519741641814
2020-06-11,13452,8312,3741,2621,0,5060,0,0.0073346140302156
2020-06-12,13043,8702,3313,2361,0,4378,0,0.0141304171738654
2020-06-13,10430,7165,2689,1572,0,3289,0,0.0169316582156908
2020-06-14,9143,7095,2787,1722,0,4096,0,0.0103823936386136
2020-06-15,14061,9062,3186,2520,0,4980,0,0.0098414839742444
2020-06-16,11186,9867,3772,3358,0,3817,0,0.0143050492396956
2020-06-17,9519,12072,3765,3237,0,4282,0,0.01312629781097
2020-06-18,10726,12401,3521,2580,0,3738,0,0.0222763897708491
2020-06-19,9431,13475,3463,3553,0,3839,0,-0.0037452981300505
2020-06-20,7451,11587,4577,3018,0,3873,0,0.0233666241445137
2020-06-21,7187,7397,2945,2008,0,3166,0,0.0167711331938765
2020-06-22,10040,10223,3231,2462,0,3893,0,0.0138900153253226
2020-06-23,13132,10424,3720,2606,0,4739,0,0.0117234016945653
2020-06-24,9887,12606,6855,2675,0,3746,0,0.0168365807376343
2020-06-25,9648,17143,5880,3210,0,4510,0,0.0178998722847429
2020-06-26,9406,17176,3504,5202,0,4734,0,0.0163278378480659
2020-06-27,7778,17527,3649,3565,0,3816,0,0.0168375962879782
2020-06-28,9787,15146,3302,3320,0,3836,0,0.0109153174535898
2020-06-29,13277,16737,3599,4671,0,4193,0,0.0127039197810992
2020-06-30,12906,14222,3377,5179,0,3614,0,-0.0039839018833612
2020-07-01,11227,16471,3588,4168,0,3870,0,0.0077422990449427
2020-07-02,9467,20078,4338,4134,0,4155,0,0.0199656434570451
2020-07-03,10067,16891,5333,2785,0,4391,0,0.018747924134391
2020-07-04,9743,14106,3776,2793,0,3940,0,0.0134242339496145
2020-07-05,10418,12660,3525,3510,0,4635,0,0.0087847039361331
2020-07-06,8264,11758,2844,3677,0,3258,0,0.0108150554285568
2020-07-07,11857,13925,3154,4401,0,3954,0,0.0138907469113861
2020-07-08,10595,14103,3507,3139,0,3589,0,0.0136612380706638
2020-07-09,9570,13151,3159,3225,0,3113,0,0.0176412581386499
2020-07-10,9334,13890,3474,2886,0,2980,0,0.0171609095052857
2020-07-11,8014,14572,2329,1899,0,2810,0,0.0147896358736532
2020-07-12,8094,17345,3058,2407,0,3316,0,0.0117869490737077
2020-07-13,9268,16237,4148,4649,0,3609,0,0.011065203034922
2020-07-14,11134,18308,4240,3538,0,3329,0,0.012000560227727
2020-07-15,8481,17495,3217,2705,0,4535,0,0.0170907269846367
2020-07-16,9605,22546,3000,2805,0,3224,0,0.0100580471586305
2020-07-17,8577,18569,2866,2686,0,3231,0,0.0149520019984298
2020-07-18,6406,14097,2289,2220,0,2681,0,0.021401157519685
2020-07-19,7467,13371,3074,2644,0,2505,0,0.0083491525114497
2020-07-20,7581,15730,3705,2725,0,2882,0,0.0099915694265998
2020-07-21,7528,16045,3853,2789,0,2981,0,0.0139388815972488
2020-07-22,8150,14557,3672,2931,0,3018,0,0.0166788622290376
2020-07-23,7061,12668,2738,2657,0,3868,0,0.0069543245576614
